description,completed,value,new_balance
Coffee,2016-11-02T21:35:57Z,-122.92HKD,115725.44HKD
Cash Withdrawals,2016-11-02T16:42:44Z,-1506.59HKD,115848.36HKD
Monthly Netflix Membership,2016-11-02T09:57:43Z,-73.61HKD,117354.95HKD
Car Servicing,2016-11-02T05:25:08Z,-3629.45HKD,117428.56HKD
Mobile,2016-10-30T07:13:42Z,-397.44HKD,121058.01HKD
Saving,2016-10-30T05:04:30Z,-1808.09HKD,121455.45HKD
Coffee,2016-10-26T11:27:47Z,-69.75HKD,123263.54HKD
Shopping,2016-10-24T16:14:40Z,-457.22HKD,123333.29HKD
Shopping,2016-10-24T02:01:19Z,-136.56HKD,123790.51HKD
Bar,2016-10-23T11:33:02Z,-248.25HKD,123927.07HKD
Coffee,2016-10-18T23:34:59Z,-65.50HKD,124175.32HKD
Spa,2016-10-18T20:52:33Z,-603.06HKD,124240.82HKD
Shopping,2016-10-18T06:15:36Z,-112.64HKD,124843.88HKD
Restaurant,2016-10-17T19:49:58Z,-450.39HKD,124956.52HKD
Filling Station,2016-10-14T09:06:02Z,-609.65HKD,125406.91HKD
Cash Withdrawals,2016-10-14T07:43:33Z,-1056.45HKD,126016.56HKD
Restaurant,2016-10-11T17:51:13Z,-277.03HKD,127073.01HKD
Shopping,2016-10-11T05:42:38Z,-188.06HKD,127350.04HKD
Bar,2016-10-10T05:08:07Z,-106.39HKD,127538.10HKD
Spa,2016-10-09T14:38:43Z,-234.98HKD,127644.49HKD
Shopping,2016-10-06T08:55:40Z,-240.34HKD,127879.47HKD
Shopping,2016-10-05T20:05:47Z,-69.75HKD,128119.81HKD
Coffee,2016-10-05T01:52:28Z,-156.16HKD,128189.56HKD
Shopping,2016-10-03T18:44:06Z,-451.76HKD,128345.72HKD
Bar,2016-10-03T05:26:08Z,-228.55HKD,128797.48HKD
Restaurant,2016-10-03T01:07:45Z,-79.63HKD,129026.03HKD
Salary Ref ID34215,2016-10-01T13:08:19Z,12280.40HKD,129105.66HKD
Salary Ref ID34215,2016-10-01T11:27:31Z,17670.90HKD,116825.26HKD
Car Servicing,2016-10-01T06:35:09Z,-3629.45HKD,99154.36HKD
Mobile,2016-09-28T15:58:34Z,-397.44HKD,102783.81HKD
Saving,2016-09-28T01:01:41Z,-1808.09HKD,103181.25HKD
Coffee,2016-09-27T08:37:12Z,-150.14HKD,104989.34HKD
Bar,2016-09-26T20:04:39Z,-103.32HKD,105139.48HKD
Shopping,2016-09-26T06:06:36Z,-151.86HKD,105242.80HKD
Bar,2016-09-26T00:19:37Z,-273.79HKD,105394.66HKD
Coffee,2016-09-24T01:33:59Z,-65.50HKD,105668.45HKD
Resaurant,2016-09-23T02:06:00Z,-401.19HKD,105733.95HKD
Flights,2016-09-21T11:48:47Z,-1201.15HKD,106135.14HKD
Booking.com,2016-09-21T05:10:24Z,-847.08HKD,107336.29HKD
Shopping,2016-09-18T14:10:48Z,-289.68HKD,108183.37HKD
Restaurant/Takeway,2016-09-16T17:32:44Z,-505.78HKD,108473.05HKD
Coffee,2016-09-14T16:02:15Z,-65.50HKD,108978.83HKD
Shopping,2016-09-14T09:43:05Z,-514.80HKD,109044.33HKD
Restaurant,2016-09-13T21:04:07Z,-384.33HKD,109559.13HKD
Coffee,2016-09-12T23:00:56Z,-65.50HKD,109943.46HKD
Shopping,2016-09-12T20:10:11Z,-1044.53HKD,110008.96HKD
