description,completed,value,new_balance
Restaurant/Takeway,2019-03-15T17:26:23Z,-505.78HKD,46093.38HKD
Shopping,2019-03-15T01:53:53Z,-514.80HKD,46599.16HKD
Coffee,2019-03-13T03:36:46Z,-65.50HKD,47113.96HKD
Restaurant,2019-03-13T01:22:19Z,-384.33HKD,47179.46HKD
Shopping,2019-03-12T23:02:57Z,-1044.53HKD,47563.79HKD
Shopping,2019-03-12T22:16:12Z,-721.61HKD,48608.32HKD
Spa,2019-03-12T14:55:58Z,-234.98HKD,49329.93HKD
Coffee,2019-03-12T12:51:43Z,-65.50HKD,49564.91HKD
Coffee,2019-03-11T23:45:43Z,-65.50HKD,49630.41HKD
Bar,2019-03-11T19:43:41Z,-222.06HKD,49695.91HKD
Restaurant,2019-03-11T07:09:40Z,-155.25HKD,49917.97HKD
Shopping,2019-03-10T09:17:28Z,-276.69HKD,50073.22HKD
Monthly Netflix Membership,2019-03-08T14:02:08Z,-59.82HKD,50349.91HKD
Shopping,2019-03-08T12:14:57Z,-73.43HKD,50409.73HKD
Coffee,2019-03-07T16:35:45Z,-65.50HKD,50483.16HKD
Monthly Netflix Membership,2019-03-07T02:47:37Z,-59.82HKD,50548.66HKD
Spa,2019-03-06T16:22:29Z,-804.89HKD,50608.48HKD
Tickets,2019-03-06T06:07:58Z,-730.25HKD,51413.37HKD
Coffee,2019-03-05T23:35:22Z,-65.50HKD,52143.62HKD
Filling Station,2019-03-05T18:28:48Z,-590.14HKD,52209.12HKD
Cash Withdrawals,2019-03-05T09:56:34Z,-1056.45HKD,52799.26HKD
Cinema,2019-03-05T03:04:01Z,-135.48HKD,53855.71HKD
Shopping,2019-03-04T23:11:04Z,-279.47HKD,53991.19HKD
Shopping,2019-03-04T19:05:18Z,-538.61HKD,54270.66HKD
Restaurant,2019-03-04T04:21:45Z,-457.22HKD,54809.27HKD
Bar,2019-03-04T00:16:38Z,-207.50HKD,55266.49HKD
Car Servicing,2019-03-03T16:22:50Z,-3629.45HKD,55473.99HKD
Salary Ref ID34215,2019-03-01T08:32:40Z,12280.40HKD,59103.44HKD
Saving,2019-02-27T20:34:06Z,-1808.09HKD,46823.04HKD
Shopping,2019-02-21T18:09:19Z,996.75HKD,48631.13HKD
Mobile,2019-02-21T16:22:30Z,-397.44HKD,47634.38HKD
Shopping,2019-02-21T11:47:13Z,996.75HKD,48031.82HKD
Mobile,2019-02-21T06:33:46Z,-397.44HKD,47035.07HKD
Shopping,2019-02-18T14:30:53Z,-61.91HKD,47432.51HKD
Shopping,2019-02-18T08:50:05Z,-61.91HKD,47494.42HKD
Coffee,2019-02-16T18:57:30Z,-65.50HKD,47556.33HKD
Filling Station,2019-02-16T16:49:26Z,-538.61HKD,47621.83HKD
Filling Station,2019-02-16T13:34:18Z,-538.61HKD,48160.44HKD
Coffee,2019-02-16T04:40:50Z,-65.50HKD,48699.05HKD
Restaurant,2019-02-14T03:05:01Z,-277.03HKD,48764.55HKD
Restaurant,2019-02-14T02:53:23Z,-277.03HKD,49041.58HKD
