description,completed,value,new_balance
Coffee,2018-08-19T00:46:25Z,-69.75HKD,140701.62HKD
Restaurants,2018-08-15T19:04:02Z,-279.33HKD,140771.37HKD
Bar,2018-08-14T21:03:00Z,-194.27HKD,141050.70HKD
Shopping,2018-08-09T22:49:17Z,-541.84HKD,141244.97HKD
Restaurants,2018-08-08T20:03:58Z,-1080.71HKD,141786.81HKD
Shopping,2018-08-08T16:32:28Z,-371.16HKD,142867.52HKD
Coffee,2018-08-08T09:13:26Z,-148.39HKD,143238.68HKD
Shopping,2018-08-08T09:06:43Z,-1056.88HKD,143387.07HKD
Filling Station,2018-08-04T15:45:33Z,-722.14HKD,144443.95HKD
Shopping,2018-08-03T16:06:53Z,-46.22HKD,145166.09HKD
Tax Ref 4583245,2018-08-01T16:14:38Z,-271.49HKD,145212.31HKD
Monthly Golf membership,2018-08-01T12:20:17Z,-407.62HKD,145483.80HKD
Water,2018-08-01T03:25:18Z,-271.49HKD,145891.42HKD
Gas/Elec,2018-08-01T01:13:38Z,-1056.45HKD,146162.91HKD
Savings,2018-07-30T12:05:29Z,-2688.87HKD,147219.36HKD
BT,2018-07-29T16:41:23Z,-376.34HKD,149908.23HKD
Income,2018-07-29T11:02:52Z,17890.36HKD,150284.57HKD
Bar,2018-07-24T03:47:04Z,-427.22HKD,132394.21HKD
Shopping,2018-07-20T16:23:16Z,-688.26HKD,132821.43HKD
Filling Station,2018-07-20T03:26:53Z,-722.14HKD,133509.69HKD
Restaurants,2018-07-18T09:41:33Z,-905.47HKD,134231.83HKD
Parking,2018-07-13T09:23:31Z,-52.96HKD,135137.30HKD
Coffee,2018-07-13T07:34:56Z,-61.99HKD,135190.26HKD
Florist,2018-07-12T12:46:15Z,-271.49HKD,135252.25HKD
Shopping,2018-07-12T07:24:33Z,-586.59HKD,135523.74HKD
Restaurants,2018-07-10T15:58:41Z,-347.62HKD,136110.33HKD
