description,completed,value,new_balance
Cash Withdrawals,2018-11-02T10:44:14Z,-1506.59HKD,117135.84HKD
Coffee,2018-11-02T10:40:25Z,-122.92HKD,118642.43HKD
Car Servicing,2018-11-02T00:20:51Z,-3629.45HKD,118765.35HKD
Saving,2018-10-30T19:51:42Z,-1808.09HKD,122394.80HKD
Mobile,2018-10-30T13:54:32Z,-397.44HKD,124202.89HKD
Coffee,2018-10-26T14:59:46Z,-69.75HKD,124600.33HKD
Shopping,2018-10-24T12:52:31Z,-136.56HKD,124670.08HKD
Shopping,2018-10-24T11:32:15Z,-457.22HKD,124806.64HKD
Bar,2018-10-23T12:09:51Z,-248.25HKD,125263.86HKD
Spa,2018-10-18T12:01:44Z,-603.06HKD,125512.11HKD
Coffee,2018-10-18T10:44:18Z,-65.50HKD,126115.17HKD
Shopping,2018-10-18T00:39:15Z,-112.64HKD,126180.67HKD
Restaurant,2018-10-17T23:05:58Z,-450.39HKD,126293.31HKD
Filling Station,2018-10-14T19:30:28Z,-609.65HKD,126743.70HKD
Cash Withdrawals,2018-10-14T13:14:29Z,-1056.45HKD,127353.35HKD
Restaurant,2018-10-11T23:01:13Z,-277.03HKD,128409.80HKD
Shopping,2018-10-11T20:28:53Z,-188.06HKD,128686.83HKD
Bar,2018-10-10T10:44:51Z,-106.39HKD,128874.89HKD
Spa,2018-10-09T14:25:47Z,-234.98HKD,128981.28HKD
Shopping,2018-10-06T18:06:36Z,-240.34HKD,129216.26HKD
Coffee,2018-10-05T22:45:48Z,-156.16HKD,129456.60HKD
Shopping,2018-10-05T02:30:51Z,-69.75HKD,129612.76HKD
Shopping,2018-10-03T16:12:06Z,-451.76HKD,129682.51HKD
Restaurant,2018-10-03T13:12:36Z,-79.63HKD,130134.27HKD
Bar,2018-10-03T00:11:39Z,-228.55HKD,130213.90HKD
Car Servicing,2018-10-01T20:14:40Z,-3629.45HKD,130442.45HKD
Salary Ref ID34215,2018-10-01T04:17:21Z,17670.90HKD,134071.90HKD
Salary Ref ID34215,2018-10-01T03:28:56Z,12280.40HKD,116401.00HKD
Mobile,2018-09-28T21:12:32Z,-397.44HKD,104120.60HKD
Saving,2018-09-28T06:31:13Z,-1808.09HKD,104518.04HKD
Coffee,2018-09-27T01:08:32Z,-150.14HKD,106326.13HKD
Shopping,2018-09-26T20:59:20Z,-151.86HKD,106476.27HKD
Bar,2018-09-26T12:22:12Z,-273.79HKD,106628.13HKD
Bar,2018-09-26T01:33:29Z,-103.32HKD,106901.92HKD
Coffee,2018-09-24T15:01:21Z,-65.50HKD,107005.24HKD
Resaurant,2018-09-23T06:06:00Z,-401.19HKD,107070.74HKD
Booking.com,2018-09-21T23:34:29Z,-847.08HKD,107471.93HKD
Flights,2018-09-21T17:57:52Z,-1201.15HKD,108319.01HKD
Shopping,2018-09-18T21:05:45Z,-289.68HKD,109520.16HKD
Restaurant/Takeway,2018-09-16T15:27:56Z,-505.78HKD,109809.84HKD
Coffee,2018-09-14T23:54:36Z,-65.50HKD,110315.62HKD
Shopping,2018-09-14T14:27:56Z,-514.80HKD,110381.12HKD
Restaurant,2018-09-13T00:16:22Z,-384.33HKD,110895.92HKD
Spa,2018-09-12T20:02:00Z,-234.98HKD,111280.25HKD
Shopping,2018-09-12T16:54:40Z,-1044.53HKD,111515.23HKD
