description,completed,value,new_balance
coffee,2016-11-09T09:33:33Z,-45.12HKD,18994.69HKD
Cinema,2016-11-07T16:12:54Z,-245.00HKD,19039.81HKD
Restaurant,2016-11-07T11:38:35Z,-244.91HKD,19284.81HKD
resturant,2016-11-07T08:30:26Z,-343.31HKD,19529.72HKD
Restaurant/Takeway,2016-11-06T00:04:09Z,-156.38HKD,19873.03HKD
Water,2016-11-02T19:24:49Z,-323.24HKD,20029.41HKD
Gas/Elec,2016-11-02T18:17:18Z,-534.57HKD,20352.65HKD
Monthly Sky,2016-11-02T11:58:00Z,-967.82HKD,20887.22HKD
Mortgage Ref DDE23461,2016-11-02T06:26:41Z,-6311.21HKD,21855.04HKD
coffee,2016-11-02T04:31:56Z,-128.64HKD,28166.25HKD
Salary Ref ID34215,2016-11-02T03:32:36Z,17670.90HKD,28294.89HKD
Insurance Ref IDE5467,2016-11-02T01:25:37Z,-271.49HKD,10623.99HKD
Tax Ref 4583245,2016-11-02T00:49:00Z,-1371.30HKD,10895.48HKD
coffee,2016-10-26T19:07:17Z,-49.75HKD,12266.78HKD
Filling Station,2016-10-26T18:40:51Z,-717.48HKD,12316.53HKD
Shopping,2016-10-25T03:03:12Z,-427.33HKD,13034.01HKD
Restaurant,2016-10-18T08:40:33Z,-210.61HKD,13461.34HKD
Takeway,2016-10-17T21:34:16Z,-134.55HKD,13671.95HKD
Bar,2016-10-10T04:33:36Z,-403.66HKD,13806.50HKD
Cash Withdrawal,2016-10-09T08:37:53Z,-3119.09HKD,14210.16HKD
Restaurant/Takeway,2016-10-09T05:57:27Z,-49.75HKD,17329.25HKD
Bar,2016-10-09T03:28:51Z,-285.17HKD,17379.00HKD
coffee,2016-10-08T23:26:40Z,-97.49HKD,17664.17HKD
Restaurant,2016-10-07T19:43:00Z,-312.52HKD,17761.66HKD
Shopping,2016-10-07T14:25:45Z,-171.68HKD,18074.18HKD
Yatch Club,2016-10-05T10:04:02Z,-427.22HKD,18245.86HKD
coffee,2016-10-05T09:37:17Z,-52.96HKD,18673.08HKD
Filling Station,2016-10-04T02:07:16Z,-587.59HKD,18726.04HKD
Payment of Cerdit Card,2016-10-03T12:53:23Z,-528.03HKD,19313.63HKD
Payment of Cerdit Card,2016-10-03T10:55:31Z,-5312.83HKD,19841.66HKD
Payment of Cerdit Card,2016-10-03T08:40:53Z,-3119.09HKD,25154.49HKD
Restaurant/Takeway,2016-10-03T06:05:55Z,-295.05HKD,28273.58HKD
Payment of Cerdit Card,2016-10-03T02:50:19Z,-1506.59HKD,28568.63HKD
Monthly Sky,2016-10-02T05:54:26Z,-967.82HKD,30075.22HKD
Bar,2016-10-02T02:23:32Z,-644.85HKD,31043.04HKD
Water,2016-10-01T16:33:24Z,-323.24HKD,31687.89HKD
Mortgage Ref DDE23461,2016-10-01T14:10:24Z,-6311.21HKD,32011.13HKD
Tax Ref 4583245,2016-10-01T09:37:38Z,-1371.30HKD,38322.34HKD
Gas/Elec,2016-10-01T08:37:30Z,-534.57HKD,39693.64HKD
Bar,2016-09-29T00:59:16Z,-280.00HKD,40228.21HKD
Transfer,2016-09-27T17:21:22Z,-3119.09HKD,40508.21HKD
Resaurant/Takeway,2016-09-25T22:19:06Z,-171.76HKD,43627.30HKD
Bar,2016-09-25T21:23:10Z,-274.37HKD,43799.06HKD
Shopping,2016-09-24T17:28:46Z,-290.12HKD,44073.43HKD
Parmacy,2016-09-23T13:04:04Z,-73.94HKD,44363.55HKD
Dentist,2016-09-23T01:21:01Z,-538.61HKD,44437.49HKD
