description,completed,value,new_balance
Shopping Ref CC7645331,2018-06-28T16:22:22Z,-1506.59HKD,19114.58HKD
Shopping Ref CC8089531,2018-06-28T07:07:45Z,-2688.87HKD,20621.17HKD
Restaurant Ref  CC5455412,2018-06-28T05:45:40Z,-331.96HKD,23310.04HKD
coffee Ref CC5431124,2018-06-24T04:18:56Z,-40.42HKD,23642.00HKD
Takeway Ref CC2347651,2018-06-21T21:30:37Z,-77.89HKD,23682.42HKD
Bar Ref CC1235412,2018-06-19T22:42:09Z,-443.08HKD,23760.31HKD
Filling Station Ref CC1695432,2018-06-04T05:58:42Z,-587.59HKD,24203.39HKD
Shopping Ref CC80895431,2018-06-01T05:20:22Z,-538.61HKD,24790.98HKD
Bar Ref CC5432872,2018-04-01T09:57:57Z,-151.86HKD,25329.59HKD
Bar Ref CC1421712,2018-03-26T14:38:52Z,-151.86HKD,25481.45HKD
Parking Ref CC6146612,2018-03-24T03:07:32Z,-77.89HKD,25633.31HKD
Shopping Ref CC70595431,2018-03-23T18:42:18Z,-538.61HKD,25711.20HKD
Cinema Ref CC7714143,2018-03-21T14:07:09Z,-234.75HKD,26249.81HKD
coffee Ref CC1406843,2018-03-19T15:02:41Z,-40.42HKD,26484.56HKD
Restaurant Ref  CC7655412,2018-03-17T10:43:40Z,-331.96HKD,26524.98HKD
Shopping Ref CC0066915,2018-03-17T10:08:03Z,-1506.59HKD,26856.94HKD
Shopping Ref CC8755412,2018-03-16T09:18:05Z,-2688.87HKD,28363.53HKD
coffee Ref CC1776843,2018-03-13T08:14:22Z,-40.42HKD,31052.40HKD
Takeway Ref CC1225656,2018-03-11T13:27:07Z,-77.89HKD,31092.82HKD
Bar Ref CC3421711,2018-03-06T07:02:24Z,-443.08HKD,31170.71HKD
Filling Station Ref CC1695831,2018-03-02T02:48:44Z,-587.59HKD,31613.79HKD
Shopping Ref CC7712139,2018-03-01T08:39:16Z,-538.61HKD,32201.38HKD
Cinema Ref CC4976651,2017-12-30T23:30:39Z,-234.75HKD,32739.99HKD
Parking Ref CC7846612,2017-12-30T20:56:45Z,-77.89HKD,32974.74HKD
Shopping Ref CC1132387,2017-12-30T18:27:58Z,-538.61HKD,33052.63HKD
coffee Ref CC5578151,2017-12-29T19:57:18Z,-40.42HKD,33591.24HKD
Shopping Ref CC0097804,2017-12-28T08:30:03Z,-2688.87HKD,33631.66HKD
resturant Ref CC5987661,2017-12-28T07:57:54Z,-331.96HKD,36320.53HKD
Shopping Ref  CC4453211,2017-12-28T02:38:10Z,-1506.59HKD,36652.49HKD
Takeway Ref CC1115656,2017-12-24T19:00:38Z,-77.89HKD,38159.08HKD
coffee Ref CC5578951,2017-12-24T12:45:29Z,-40.42HKD,38236.97HKD
Bar Ref CC6784321,2017-12-19T18:33:03Z,-443.08HKD,38277.39HKD
Filling Station CC6784305,2017-12-04T20:05:38Z,-587.59HKD,38720.47HKD
Shopping Ref CC6797804,2017-12-01T18:26:43Z,-538.61HKD,39308.06HKD
Bar Ref CC5432871,2017-10-01T10:03:16Z,-151.86HKD,39846.67HKD
Bar Ref CC5971542,2017-09-27T08:22:04Z,-151.86HKD,39998.53HKD
Parking Ref CC6759031,2017-09-24T02:19:02Z,-77.89HKD,40150.39HKD
Shopping Ref CC8794125,2017-09-23T13:53:05Z,-538.61HKD,40228.28HKD
Cinema Ref CC0126384,2017-09-21T02:08:07Z,-234.75HKD,40766.89HKD
coffee Ref CC1256843,2017-09-19T23:03:24Z,-40.42HKD,41001.64HKD
Restaurant CC1456239,2017-09-17T19:43:18Z,-331.96HKD,41042.06HKD
Shopping Ref CC3766864,2017-09-17T05:22:58Z,-1506.59HKD,41374.02HKD
Shopping Ref CC8797864,2017-09-17T03:33:45Z,-2688.87HKD,42880.61HKD
coffee Ref CC1290843,2017-09-15T17:16:02Z,-156.16HKD,45569.48HKD
Takeway Ref CC1265481,2017-09-11T19:01:05Z,-77.89HKD,45725.64HKD
Bar Ref CC5971342,2017-09-07T01:54:03Z,-443.08HKD,45803.53HKD
Filling Station Ref CC8895831,2017-09-02T09:33:03Z,-587.59HKD,46246.61HKD
Shopping Ref CC0097864,2017-09-01T06:31:00Z,-289.63HKD,46834.20HKD
Parking Ref CC4532111,2017-06-30T16:54:20Z,-77.89HKD,47123.83HKD
Cinema Ref CC2214143,2017-06-30T12:02:30Z,-234.75HKD,47201.72HKD
Shopping Ref CC5656121,2017-06-30T02:15:57Z,-538.61HKD,47436.47HKD
coffee Ref CC5131124,2017-06-29T07:12:00Z,-40.42HKD,47975.08HKD
Restaurant Ref  CC5455412,2017-06-28T21:42:06Z,-331.96HKD,48015.50HKD
Shopping Ref CC8089531,2017-06-28T16:00:47Z,-2688.87HKD,48347.46HKD
Shopping Ref CC7645331,2017-06-28T01:18:03Z,-1506.59HKD,51036.33HKD
coffee Ref CC5431124,2017-06-24T07:03:08Z,-40.42HKD,52542.92HKD
Takeway Ref CC2347651,2017-06-21T01:05:09Z,-77.89HKD,52583.34HKD
Bar Ref CC1235412,2017-06-19T16:22:50Z,-443.08HKD,52661.23HKD
Filling Station Ref CC1695432,2017-06-04T10:10:49Z,-587.59HKD,53104.31HKD
Shopping Ref CC80895431,2017-06-01T00:10:59Z,-538.61HKD,53691.90HKD
Bar Ref CC5432872,2017-04-01T02:48:57Z,-151.86HKD,54230.51HKD
Bar Ref CC1421712,2017-03-26T01:46:48Z,-151.86HKD,54382.37HKD
Parking Ref CC6146612,2017-03-24T19:11:16Z,-77.89HKD,54534.23HKD
Shopping Ref CC70595431,2017-03-23T14:27:26Z,-538.61HKD,54612.12HKD
Cinema Ref CC7714143,2017-03-21T02:25:13Z,-234.75HKD,55150.73HKD
coffee Ref CC1406843,2017-03-19T05:53:19Z,-40.42HKD,55385.48HKD
Shopping Ref CC0066915,2017-03-17T22:56:42Z,-1506.59HKD,55425.90HKD
Restaurant Ref  CC7655412,2017-03-17T12:34:23Z,-331.96HKD,56932.49HKD
Shopping Ref CC8755412,2017-03-16T04:13:29Z,-2688.87HKD,57264.45HKD
coffee Ref CC1776843,2017-03-13T18:38:14Z,-40.42HKD,59953.32HKD
