description,completed,value,new_balance
Shopping,2018-10-23T04:19:48Z,-127.39HKD,-6150.44HKD
Cash withdrawal,2018-10-21T08:51:03Z,-534.57HKD,-6023.05HKD
Shopping,2018-10-11T13:03:16Z,-69.51HKD,-5488.48HKD
Cash withdrawal,2018-10-11T06:46:54Z,-534.57HKD,-5418.97HKD
Filling station,2018-10-11T02:00:01Z,-257.16HKD,-4884.40HKD
Restaurant,2018-10-11T01:42:20Z,-356.05HKD,-4627.24HKD
Shopping,2018-10-11T01:25:08Z,-753.95HKD,-4271.19HKD
Shopping,2018-10-10T23:35:41Z,-389.17HKD,-3517.24HKD
Shopping,2018-10-10T19:32:03Z,-338.50HKD,-3128.07HKD
Shopping,2018-10-10T10:02:58Z,-273.12HKD,-2789.57HKD
Restaurant,2018-10-10T06:52:19Z,-188.27HKD,-2516.45HKD
Cash withdrawal,2018-10-09T07:42:20Z,-534.57HKD,-2328.18HKD
Shopping,2018-10-09T07:01:59Z,-209.62HKD,-1793.61HKD
Optician,2018-10-07T08:13:18Z,-323.24HKD,-1583.99HKD
Restaurant,2018-10-05T20:13:11Z,-279.42HKD,-1260.75HKD
Cash withdrawal,2018-10-05T15:29:24Z,-534.57HKD,-981.33HKD
Shopping,2018-10-05T13:34:27Z,-359.22HKD,-446.76HKD
Shopping,2018-10-05T09:30:24Z,-151.86HKD,-87.54HKD
Water,2018-10-01T11:32:54Z,-271.49HKD,64.32HKD
Telephone,2018-10-01T05:50:52Z,-338.50HKD,335.81HKD
Rent,2018-10-01T05:04:38Z,-6311.21HKD,674.31HKD
Gas/Elec,2018-10-01T03:04:39Z,-587.59HKD,6985.52HKD
Tax Ref 4583245,2018-10-01T02:05:16Z,-617.99HKD,7573.11HKD
Savings,2018-09-30T17:26:48Z,-331.96HKD,8191.10HKD
Mobile phone,2018-09-28T10:20:31Z,-271.49HKD,8523.06HKD
Cash withdrawal,2018-09-27T22:58:18Z,-534.57HKD,8794.55HKD
Salary Ref ID39815,2018-09-27T05:31:32Z,12751.32HKD,9329.12HKD
Shopping,2018-09-27T04:40:49Z,-692.44HKD,-3422.20HKD
Shopping,2018-09-26T12:22:20Z,-308.55HKD,-2729.76HKD
Shopping,2018-09-26T04:27:39Z,-274.18HKD,-2421.21HKD
Restaurant,2018-09-26T03:57:45Z,-526.65HKD,-2147.03HKD
Filling station,2018-09-15T12:48:51Z,-331.96HKD,-1620.38HKD
Shopping,2018-09-14T18:55:32Z,981.58HKD,-1288.42HKD
Shopping,2018-09-14T13:55:36Z,-149.45HKD,-2270.00HKD
Shopping,2018-09-13T22:31:18Z,-857.49HKD,-2120.55HKD
Restaurant,2018-09-11T18:39:25Z,-167.38HKD,-1263.06HKD
Cash withdrawal,2018-09-09T15:14:44Z,-534.57HKD,-1095.68HKD
Shopping,2018-09-07T11:58:18Z,-216.52HKD,-561.11HKD
Cash withdrawal,2018-09-05T17:09:28Z,-534.57HKD,-344.59HKD
Shopping,2018-09-05T03:03:03Z,-610.69HKD,189.98HKD
Telephone,2018-09-03T18:02:39Z,-338.50HKD,800.67HKD
Water,2018-09-03T03:13:10Z,-271.49HKD,1139.17HKD
Rent,2018-09-03T01:57:32Z,-6311.21HKD,1410.66HKD
Gas/Elec,2018-09-03T00:04:19Z,-587.59HKD,7721.87HKD
Tax Ref 4583245,2018-09-01T13:15:20Z,-617.99HKD,8309.46HKD
Savings,2018-08-30T07:54:05Z,-331.96HKD,8927.45HKD
Mobile phone,2018-08-28T09:27:46Z,-271.49HKD,9259.41HKD
Salary Ref ID35781,2018-08-27T22:58:21Z,12751.32HKD,9530.90HKD
Shopping,2018-08-27T18:52:57Z,-535.19HKD,-3220.42HKD
Restaurant,2018-08-27T07:38:05Z,-157.40HKD,-2685.23HKD
Shopping,2018-08-24T11:04:24Z,-156.16HKD,-2527.83HKD
Shopping,2018-08-23T14:34:51Z,-504.67HKD,-2371.67HKD
Cash withdrawal,2018-08-23T06:51:05Z,-534.57HKD,-1867.00HKD
Takeaway,2018-08-21T06:47:36Z,-342.53HKD,-1332.43HKD
Shopping,2018-08-17T18:55:54Z,-156.16HKD,-989.90HKD
